bdb_cid,smiles,mw,alogp,tpsa,hbd,hba,rotb,rings,arom_rings,fsp3,formal_charge,heavy_atoms,globularity_proxy,scaffold
1951,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=O)C(=C4C(=C3)C(=CC(=C4O)O)C5C(CC6=C(C=C(C=C6O5)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O,716.5979,4.4424,284.35999999999996,11,16,5,7,5,0.16666666666666666,0,52,0.7115384615384616,O=C(OC1Cc2ccccc2OC1c1cccc2cc(=O)cc(C3CCc4ccccc4O3)cc12)c1ccccc1
1952,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C4=C3C=C(C=C(C4=O)O)C5C(CC6=C(C=C(C=C6O5)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)O,716.5979,4.4424,284.35999999999996,11,16,5,7,5,0.16666666666666666,0,52,0.7115384615384616,O=C(OC1Cc2ccccc2OC1c1ccc(=O)c2cccc(C3CCc4ccccc4O3)c2c1)c1ccccc1
1953,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC4=C(C(=C(C=C4C5C(CC6=C(C=C(C=C6O5)O)O)O)O)O)C(=O)C(=C3)O)O,564.4937,3.2012,217.59999999999997,9,12,2,6,4,0.20689655172413793,0,41,0.7560975609756098,O=c1ccc(C2CCc3ccccc3O2)cc2c(C3CCc4ccccc4O3)cccc12
1972,CC(=O)C1=CC2=CC=CC=C2O1,160.1693,2.0745,30.21,0,2,1,2,2,0.1,0,12,0.75,c1ccc2occc2c1
2028,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8O)(C)C)C)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,943.1221,0.8608,294.97999999999996,10,16,9,8,0,0.9375,0,66,0.6060606060606061,C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4OCCCC4OC4CCCCO4)CCC3C2C1
2033,C1=CC(=CC=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O.[Cl-],306.6978,0.4147,92.22000000000001,4,5,1,3,3,0.0,0,21,0.7619047619047619,c1ccc(-c2ccc3ccccc3[o+]2)cc1
2036,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)COC(=O)CC(=O)O)O)O)O)O,518.4237,0.8971,213.41999999999996,5,11,8,4,3,0.2916666666666667,0,37,0.5945945945945946,O=c1c(-c2ccccc2)coc2cc(OC3CCCCO3)ccc12
2038,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.[Cl-],300.8076,-2.4828,75.91,2,3,4,2,2,0.4166666666666667,0,19,0.5789473684210527,c1ncc(C[n+]2ccsc2)cn1
2039,CC1=NC=C(C(=C1O)CO)CO.Cl,205.6388,-0.618,73.58000000000001,3,4,2,1,1,0.375,0,13,0.46153846153846156,c1ccncc1
2040,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,384.6377,7.756,20.23,1,1,6,3,0,0.7777777777777778,0,28,0.5357142857142857,C=C1CCCCC1=CC=C1CCCC2CCCC12
2041,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,286.4516,5.3167,20.23,1,1,5,1,0,0.5,0,21,0.2857142857142857,C1=CCCCC1
2045,COC1=C(C=CC(=C1)C=O)O,152.1473,1.3056,46.53,1,3,2,1,1,0.125,0,11,0.5454545454545454,c1ccccc1
