"cID","rID","RefID","Classification","THRmicroM","EC50Str","EC50mM","EC50microM","Efficacy_str","Efficacy","Efficacy_microM","Concentration_used","SequenceVariant"
"94","4","68","Bitter","300",,,,,,,,
"94","8","68","Bitter","1000",,,,,,,,
"94","10","68","Bitter","3",,,"120",,,,,
"94","13","68","Bitter","30.0",,,,,,,,"AAH95518.1"
"94","39","68","Bitter","100.0",,,,,,,,"AAM19321.1"
"94","43","68","Bitter","300",,,,,,,,
"94","46","68","Bitter","30.0",,,"240.0",,,,,"AAM19318.1"
"94","47","68","Bitter","0.03",,,"0.27",,,,,"AAM19324.1"
"95","5","68","Bitter","100",,,,,,,,
"96","7","68","Bitter","3000",,,,,,,,
"96","43","68","Bitter","3000",,,,,,,,
"96","49","68","Bitter","10",,,,,,,,
"98","10","68","Bitter","100",,,,,,,,
"98","1007","983","Bitter","1000.0",,,,,,,,
"99","1007","983","Bitter","300.0",,,,,,,,
"101","10","68","Bitter","300",,,,,,,,
"101","44","68","Bitter","300",,,,,,,,
"103","16","68","Bitter","700.0",,,"5800.0",,,"700.0",,"AAH95524.1"
"103","16","667","Bitter","700.0",,"1.34","1340",,,"700.0",,
"107","38","68","Bitter","3",,,"25",,,,,
"109","38","68","Bitter","10000",,,,,,,,
"110","38","68","Bitter","10",,,,,,,,
"112","38","68","Bitter","30",,,,,,,,
"113","38","68","Bitter","10",,,,,,,,
"115","38","68","Bitter","30",,,,,,,,
"323","38","68","Bitter","30",,,,,,,,
"117","38","68","Bitter","100",,,,,,,,
"119","38","68","Bitter","0.04",,,,,,,,
"120","38","68","Bitter","0.11",,,,,,,,
"123","43","68","Bitter","0.3",,,,,,,,
"123","44","68","Bitter","30",,,,,,,,
"125","43","68","Bitter","280",,,,,,,,
"125","44","68","Bitter","140",,,,,,,,
"126","1007","983","Bitter","100.0",,,,,,,,
"129","46","68","Bitter","3.0",,,,,,,,"AAM19318.1"
"130","46","68","Bitter","30.0",,,,,,,,"AAM19318.1"
"224","1007","983","Bitter","300.0",,,,,,,,
"461","16","667","Bitter",,,"0.22","220.0",,,,,
"645","16","667","Bitter",,,"0.38","380.0",,,,,
"650","1001","983","Bitter","30.0",,,,,,,,
"674","9","694","Bitter",,,"0.2","200.0",,,,,
"675","9","694","Bitter",,,"2.8","2800",,,,,
"676","9","694","Bitter",,,"1.8","1800.0",,,,,
"738","4","68","Bitter","300",,,,,,,,
"738","10","68","Bitter","300",,,,,,,,
"738","14","68","Bitter","3",,,,,,,,
"738","47","68","Bitter","300.0",,,,,,,,"AAM19324.1"
"802","14","826","Bitter","8.0",,"0.04","47.2",,,"8.0",,
"802","39","826","Bitter","32",,"0.05","55.8",,,"32.0",,
"808","39","861","Bitter",,,"0.18","181.6",,,,,
"813","39","861","Bitter",,,"0.41","417.1",,,,,
"814","39","861","Bitter",,,"0.39","395.5",,,,,
"815","39","861","Bitter",,,"0.08","88.2",,,,,
"835","1","875","Bitter","57500",,,,,,,,
"836","1","877","Bitter",,,,"7200",,,,,
"837","39","879","Bitter","10000.0",,,,,,,,
"838","1","877","Bitter",,,,"370.0",,,,,
"860","39","899","Bitter","16",,,,,,,,
"911","14","899","Bitter","63",,,,,,,,
"911","39","899","Bitter","32",,,,,,,,
"926","14","68","Bitter","300",,,,,,,,
"927","7","966","Bitter","250.0",,,,,,,,
"927","14","966","Bitter","250.0",,,,,,,,
"929","14","968","Bitter","3.0",,"0.03","36.0",,,,,
"930","14","968","Bitter","30.0",,,,,,,,
"931","14","968","Bitter","30.0",,,,,,"30.0",,
"932","14","968","Bitter","100.0",,,,,,,,
"933","14","816","Bitter",,,,,,,,,
"933","46","816","Bitter","10",,,"45.6",,,,,
"946","2105","987","bitter","170.0","0.014 ? 0.007 mM","0.01","14","0.17 ? 0.02","0.1","170.0",,
"946","2120","987","bitter","80.0","0.020 ? 0.006 mM","0.02","20","0.08 ? 0.01","0.0","80.0",,
"946","2119","987","bitter","120.0",,,,"0.12 ? 0.08","0.1","120.0",,
"947","2105","987","bitter","1060","0.59 ? 0.21 mM","0.59","590","1.06 ? 0.22","1.0","1060",,
"947","2140","987","bitter","100","0.25 ? 0.01 mM","0.25","250","0.10 ? 0.04","0.1","100",,
"947","2123","987","bitter","290",,,,"0.29 ? 0.07","0.2","290",,
"947","2135","987","bitter","370",,,,"0.37 ? 0.08","0.3","370",,
"947","2144","987","bitter","190",,,,"0.19 ? 0.02","0.1","190",,
"947","5","987","bitter",,,,,,,,"3 mM",
"947","39","987","bitter",,,,,,,,"3 mM",
"947","40","987","bitter",,,,,,,,"3 mM",
"947","43","987","bitter",,,,,,,,"3 mM",
"949","2105","987","bitter","570","0.485 ? 0.008 mM","0.48","485","0.57 ? 0.06","0.5","570",,
"949","10","987","bitter",,,,,,,,"2.4 mM",
"950","10","987","bitter",,,,,,,,"0.25 mM",
"950","2105","987","bitter","570",,,,"0.57 ? 0.11","0.5","570",,
"950","14","987","bitter",,,,,,,,"0.25 mM",
"951","2105","987","bitter","290",,,,"0.29 ? 0.07","0.2","290",,
"952","2105","987","bitter","210.0",,,,"0.21 ? 0.04","0.2","210.0",,
"953","2114","987","bitter","50.0","0.0024 ? 0.0007 mM","0.00","2.4","0.05 ? 0.03","0.0","50",,
"953","2110","987","bitter","150.0",,,,"0.15 ? 0.06","0.1","150",,
